Year,Month,Country,Region,Sub_Region,Number of Tourists
2020,Oct,Maldives,Asia and the Pacific,South Asia,3
2020,Oct,Iran,Asia and the Pacific,South Asia,17
2020,Oct,Nepal,Asia and the Pacific,South Asia,1
2020,Oct,Pakistan,Asia and the Pacific,South Asia,1
2020,Oct,Bhutan,Asia and the Pacific,South Asia,1
2020,Oct,India,Asia and the Pacific,South Asia,5
2020,Oct,Other in Oceania,Asia and the Pacific,Oceania,1
2020,Oct,Bangladesh,Asia and the Pacific,South Asia,2
2020,Oct,New Zealand,Asia and the Pacific,Oceania,4
2020,Oct,Australia,Asia and the Pacific,Oceania,9
2020,Oct,Taiwan,Asia and the Pacific,North-East Asia,12
